"Marker","Item number","Max. available mark","Scripts","Number of candidates with differences","Mean difference","Mean absolute difference","Mean difference (standardised)","Mean abs. difference (standardised)","Proportion of scripts with differences","Flag"
"Examiner reLE","01.0","2","29","6","-0.21","1","-0.1","0.5","0.21","TRUE"
"Examiner reLE","02.0","1","29","6","0","1","0","1","0.21","TRUE"
"Examiner reLE","03.0","1","29","0","0","","0","","0","TRUE"
"Examiner reLE","04.0","2","29","0","0","","0","","0","TRUE"
"Examiner reLE","05.0","2","29","1","0.03","1","0.02","0.5","0.03","TRUE"
"Examiner reLE","06.0","2","29","7","-0.24","1","-0.12","0.5","0.24","TRUE"
"Examiner reLE","07.0","2","29","6","-0.21","1","-0.1","0.5","0.21","TRUE"
"Examiner reLE","08.0","3","29","4","-0.1","1.25","-0.03","0.42","0.14","TRUE"
"Examiner reLE","09.0","3","29","2","-0.07","1","-0.02","0.33","0.07","TRUE"
"Examiner reLE","10.0","4","29","5","0","1.2","0","0.3","0.17","TRUE"
"Examiner reLE","11.0","4","29","8","-0.17","1.62","-0.04","0.41","0.28","TRUE"
"Examiner reLE","12.0","4","29","4","-0.03","1.25","-0.01","0.31","0.14","TRUE"
"Examiner reLE","13.0","3","29","4","-0.03","1.25","-0.01","0.42","0.14","TRUE"
"Examiner reLE","14.0","4","29","6","0.31","1.5","0.08","0.38","0.21","TRUE"
"Examiner reLE","15.0","6","29","3","-0.1","1.67","-0.02","0.28","0.1","TRUE"
"Examiner reLE","16.0","6","29","6","-0.14","1.33","-0.02","0.22","0.21","TRUE"
"Examiner reLE","17.0","6","29","7","-0.03","1.29","-0.01","0.21","0.24","TRUE"
"Examiner reLE","18.0","9","29","7","-0.48","2","-0.05","0.22","0.24","TRUE"
"Examiner reLE","19.0","12","29","7","-0.31","1.29","-0.03","0.11","0.24","TRUE"
"Examiner reLE","20.0","12","29","8","0","1.5","0","0.12","0.28","TRUE"
"Examiner reLE","21.0","12","29","3","0.07","1.33","0.01","0.11","0.1","TRUE"
"Examiner rlCE","01.0","2","15","1","0.07","1","0.03","0.5","0.07","TRUE"
"Examiner rlCE","02.0","1","15","1","-0.07","1","-0.07","1","0.07","TRUE"
"Examiner rlCE","03.0","1","15","3","-0.2","1","-0.2","1","0.2","TRUE"
"Examiner rlCE","04.0","2","15","1","0.07","1","0.03","0.5","0.07","TRUE"
"Examiner rlCE","05.0","2","15","5","-0.07","1","-0.03","0.5","0.33","TRUE"
"Examiner rlCE","06.0","2","15","3","-0.07","1","-0.03","0.5","0.2","TRUE"
"Examiner rlCE","07.0","2","15","0","0","","0","","0","TRUE"
"Examiner rlCE","08.0","3","15","2","0","1","0","0.33","0.13","TRUE"
"Examiner rlCE","09.0","3","15","2","0","1","0","0.33","0.13","TRUE"
"Examiner rlCE","10.0","4","15","5","-0.13","1.2","-0.03","0.3","0.33","TRUE"
"Examiner rlCE","11.0","4","15","5","0.13","1.6","0.03","0.4","0.33","TRUE"
"Examiner rlCE","12.0","4","15","2","0","1","0","0.25","0.13","TRUE"
"Examiner rlCE","13.0","3","15","4","-0.13","1.5","-0.04","0.5","0.27","TRUE"
"Examiner rlCE","14.0","4","15","4","0.53","2","0.13","0.5","0.27","TRUE"
"Examiner rlCE","15.0","6","15","3","-0.07","1","-0.01","0.17","0.2","TRUE"
"Examiner rlCE","16.0","6","15","5","-0.27","1.2","-0.04","0.2","0.33","TRUE"
"Examiner rlCE","17.0","6","15","4","0.27","1.5","0.04","0.25","0.27","TRUE"
"Examiner rlCE","18.0","9","15","4","0.33","1.75","0.04","0.19","0.27","TRUE"
"Examiner rlCE","19.0","12","15","5","0.87","2.6","0.07","0.22","0.33","TRUE"
"Examiner rlCE","20.0","12","15","6","0.67","2","0.06","0.17","0.4","TRUE"
"Examiner rlCE","21.0","12","15","1","-0.13","2","-0.01","0.17","0.07","TRUE"
"Examiner rlIE","01.0","2","9","0","0","","0","","0","TRUE"
"Examiner rlIE","02.0","1","9","2","-0.22","1","-0.22","1","0.22","TRUE"
"Examiner rlIE","03.0","1","9","1","-0.11","1","-0.11","1","0.11","TRUE"
